FIRNumber,UnitId,DistrictId,DateOfFIR,CrimeType,Status,Latitude,Longitude
FIR/2026/013,48211000000054027,48211000000048018,2026-02-27,Theft,Under Investigation,17.221561,76.715049
FIR/2026/014,48211000000054027,48211000000048018,2026-01-24,Robbery,Under Investigation,17.245291,76.835907
FIR/2026/015,48211000000054017,48211000000048013,2026-04-18,Fraud,Chargesheeted,12.892332,77.63008
FIR/2026/016,48211000000054017,48211000000048013,2026-02-09,Fraud,Under Investigation,12.890794,77.682348
FIR/2026/017,48211000000054017,48211000000048013,2026-03-30,Cybercrime,Under Investigation,13.007318,77.695438
FIR/2026/018,48211000000054028,48211000000048018,2026-04-07,Robbery,Closed,17.20334,76.772253
FIR/2026/019,48211000000054028,48211000000048018,2026-01-12,Robbery,Chargesheeted,17.378079,76.916221
FIR/2026/020,48211000000054017,48211000000048013,2026-04-27,Vehicle Theft,Under Investigation,13.016905,77.56275
FIR/2026/021,48211000000054022,48211000000048015,2026-06-24,Burglary,Under Investigation,12.958511,74.888739
FIR/2026/022,48211000000054019,48211000000048014,2026-06-13,Theft,Under Investigation,12.352249,76.555285
FIR/2026/023,48211000000054021,48211000000048015,2026-03-22,Burglary,Under Investigation,12.884449,74.725857
FIR/2026/024,48211000000054026,48211000000048017,2026-06-14,Burglary,Chargesheeted,15.352356,75.053464
FIR/2026/025,48211000000054020,48211000000048014,2026-05-30,Fraud,Under Investigation,12.26562,76.555196
FIR/2026/026,48211000000054020,48211000000048014,2026-01-29,Theft,Under Investigation,12.191652,76.537395
FIR/2026/027,48211000000054028,48211000000048018,2026-06-02,Robbery,Under Investigation,17.478536,76.843034
FIR/2026/028,48211000000054025,48211000000048017,2026-05-18,Fraud,Under Investigation,15.439963,75.20458
FIR/2026/029,48211000000054021,48211000000048015,2026-01-01,Burglary,Under Investigation,13.050245,74.968756
FIR/2026/030,48211000000054021,48211000000048015,2026-06-10,Assault,Under Investigation,12.853633,74.897685
FIR/2026/031,48211000000054025,48211000000048017,2026-05-19,Theft,Chargesheeted,15.50075,75.25073
FIR/2026/032,48211000000054018,48211000000048013,2026-04-03,Assault,Under Investigation,13.089817,77.7028
FIR/2026/033,48211000000054021,48211000000048015,2026-01-21,Theft,Closed,12.789796,74.851797
FIR/2026/034,48211000000054017,48211000000048013,2026-05-21,Theft,Chargesheeted,12.875738,77.611602
FIR/2026/035,48211000000054026,48211000000048017,2026-07-13,Extortion,Closed,15.433679,75.034345
FIR/2026/036,48211000000054022,48211000000048015,2026-04-23,Extortion,Chargesheeted,13.033984,74.841446
FIR/2026/037,48211000000054019,48211000000048014,2026-05-22,Theft,Under Investigation,12.214834,76.555465
FIR/2026/038,48211000000054017,48211000000048013,2026-03-26,Burglary,Closed,12.847457,77.524701
FIR/2026/039,48211000000054028,48211000000048018,2026-05-27,Burglary,Under Investigation,17.352563,76.757199
FIR/2026/040,48211000000054024,48211000000048016,2026-04-21,Burglary,Under Investigation,15.805989,74.471031
FIR/2026/041,48211000000054027,48211000000048018,2026-01-26,Domestic Violence,Closed,17.197884,76.902764
FIR/2026/042,48211000000054017,48211000000048013,2026-02-05,Burglary,Chargesheeted,12.952764,77.536864
FIR/2026/043,48211000000054019,48211000000048014,2026-05-21,Assault,Closed,12.175173,76.685043
FIR/2026/044,48211000000054025,48211000000048017,2026-03-02,Extortion,Closed,15.264593,75.119692
FIR/2026/045,48211000000054020,48211000000048014,2026-01-01,Vehicle Theft,Under Investigation,12.441393,76.568961
FIR/2026/046,48211000000054024,48211000000048016,2026-05-23,Assault,Closed,15.898261,74.493701
FIR/2026/047,48211000000054020,48211000000048014,2026-07-08,Burglary,Under Investigation,12.308459,76.713793
FIR/2026/048,48211000000054017,48211000000048013,2026-05-16,Robbery,Chargesheeted,12.87343,77.741534
FIR/2026/049,48211000000054017,48211000000048013,2026-03-02,Theft,Under Investigation,12.947333,77.735779
FIR/2026/050,48211000000054025,48211000000048017,2026-01-21,Robbery,Under Investigation,15.340467,75.149102
FIR/2026/051,48211000000054026,48211000000048017,2026-07-03,Vehicle Theft,Under Investigation,15.308955,75.053684
FIR/2026/052,48211000000054020,48211000000048014,2026-01-19,Assault,Closed,12.148595,76.675748
FIR/2026/053,48211000000054025,48211000000048017,2026-03-09,Theft,Under Investigation,15.254437,75.078703
FIR/2026/054,48211000000054017,48211000000048013,2026-05-20,Cybercrime,Under Investigation,13.037262,77.636803
FIR/2026/055,48211000000054027,48211000000048018,2026-06-19,Domestic Violence,Chargesheeted,17.210776,76.947738
FIR/2026/056,48211000000054021,48211000000048015,2026-02-09,Vehicle Theft,Chargesheeted,12.845804,74.887449
