"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","FIRNumber","UnitId","DistrictId","DateOfFIR","CrimeType","Status","Latitude","Longitude"
"48211000000048030","48211000000013007","2026-07-21 13:36:23:036","2026-07-21 13:59:23:355","FIR/2026/001","48211000000054017","48211000000048013","2026-01-15","Theft","Under Investigation","12.9762","77.6033"
"48211000000048031","48211000000013007","2026-07-21 13:36:23:042","2026-07-21 13:59:23:356","FIR/2026/002","48211000000054018","48211000000048013","2026-02-03","Burglary","Chargesheeted","12.9698","77.7500"
"48211000000048032","48211000000013007","2026-07-21 13:36:23:043","2026-07-21 13:59:23:358","FIR/2026/003","48211000000054019","48211000000048014","2026-01-22","Cybercrime","Under Investigation","12.2958","76.6394"
"48211000000048033","48211000000013007","2026-07-21 13:36:23:045","2026-07-21 13:59:23:359","FIR/2026/004","48211000000054020","48211000000048014","2026-03-10","Assault","Closed","12.3052","76.6552"
"48211000000048034","48211000000013007","2026-07-21 13:36:23:047","2026-07-21 13:59:23:360","FIR/2026/005","48211000000054021","48211000000048015","2026-02-18","Robbery","Under Investigation","12.9141","74.8560"
"48211000000048035","48211000000013007","2026-07-21 13:36:23:049","2026-07-21 13:59:23:361","FIR/2026/006","48211000000054022","48211000000048015","2026-01-05","Theft","Chargesheeted","12.8698","74.8420"
"48211000000048036","48211000000013007","2026-07-21 13:36:23:051","2026-07-21 13:59:23:368","FIR/2026/007","48211000000054023","48211000000048016","2026-03-01","Domestic Violence","Under Investigation","15.8497","74.4977"
"48211000000048037","48211000000013007","2026-07-21 13:36:23:053","2026-07-21 13:59:23:370","FIR/2026/008","48211000000054024","48211000000048016","2026-02-14","Fraud","Closed","15.8656","74.5089"
"48211000000048038","48211000000013007","2026-07-21 13:36:23:055","2026-07-21 13:59:23:371","FIR/2026/009","48211000000054025","48211000000048017","2026-01-30","Cybercrime","Under Investigation","15.3647","75.1240"
"48211000000048039","48211000000013007","2026-07-21 13:36:23:057","2026-07-21 13:59:23:372","FIR/2026/010","48211000000054026","48211000000048017","2026-03-05","Theft","Chargesheeted","15.4589","75.0078"
"48211000000048040","48211000000013007","2026-07-21 13:36:23:058","2026-07-21 13:59:23:373","FIR/2026/011","48211000000054027","48211000000048018","2026-02-20","Burglary","Under Investigation","17.3297","76.8343"
"48211000000048041","48211000000013007","2026-07-21 13:36:23:060","2026-07-21 13:59:23:374","FIR/2026/012","48211000000054028","48211000000048018","2026-01-12","Assault","Chargesheeted","17.3450","76.8560"
"48211000000068945","48211000000013007","2026-07-22 09:26:57:104","2026-07-22 09:26:57:104","FIR/2026/00013","48211000000072933","48211000000054381","2026-05-19","Cybercrime","Closed","16.0589","75.580484"
"48211000000068946","48211000000013007","2026-07-22 09:26:57:108","2026-07-22 09:26:57:108","FIR/2026/00014","48211000000072933","48211000000054381","2025-08-25","Theft","Chargesheeted","16.056727","75.583459"
"48211000000068947","48211000000013007","2026-07-22 09:26:57:110","2026-07-22 09:26:57:110","FIR/2026/00015","48211000000072933","48211000000054381","2025-10-16","Theft","Closed","16.05856","75.575204"
"48211000000068948","48211000000013007","2026-07-22 09:26:57:112","2026-07-22 09:26:57:112","FIR/2026/00016","48211000000072933","48211000000054381","2025-12-20","Fraud","Closed","16.055973","75.568582"
"48211000000068949","48211000000013007","2026-07-22 09:26:57:114","2026-07-22 09:26:57:114","FIR/2026/00017","48211000000072933","48211000000054381","2025-11-21","Vehicle Theft","Under Investigation","16.0625","75.595993"
"48211000000068950","48211000000013007","2026-07-22 09:26:57:116","2026-07-22 09:26:57:116","FIR/2026/00018","48211000000072933","48211000000054381","2025-10-10","Assault","Closed","16.067522","75.572844"
"48211000000068951","48211000000013007","2026-07-22 09:26:57:118","2026-07-22 09:26:57:118","FIR/2026/00019","48211000000072933","48211000000054381","2026-05-14","Domestic Violence","Under Investigation","16.042787","75.566857"
"48211000000068952","48211000000013007","2026-07-22 09:26:57:120","2026-07-22 09:26:57:120","FIR/2026/00020","48211000000072933","48211000000054381","2026-05-11","Chain Snatching","Under Investigation","16.057114","75.578202"
"48211000000068953","48211000000013007","2026-07-22 09:26:57:122","2026-07-22 09:26:57:122","FIR/2026/00021","48211000000072933","48211000000054381","2025-12-24","Cybercrime","Under Investigation","16.07916","75.581136"
