"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","FIRNumber","UnitId","DistrictId","DateOfFIR","CrimeType","Status","Latitude","Longitude"
"48211000000048030","48211000000013007","2026-07-21 13:36:23:036","2026-07-21 13:59:23:355","FIR/2026/001","48211000000054017","48211000000048013","2026-01-15","Theft","Under Investigation","12.9762","77.6033"
"48211000000048031","48211000000013007","2026-07-21 13:36:23:042","2026-07-21 13:59:23:356","FIR/2026/002","48211000000054018","48211000000048013","2026-02-03","Burglary","Chargesheeted","12.9698","77.7500"
"48211000000048032","48211000000013007","2026-07-21 13:36:23:043","2026-07-21 13:59:23:358","FIR/2026/003","48211000000054019","48211000000048014","2026-01-22","Cybercrime","Under Investigation","12.2958","76.6394"
"48211000000048033","48211000000013007","2026-07-21 13:36:23:045","2026-07-21 13:59:23:359","FIR/2026/004","48211000000054020","48211000000048014","2026-03-10","Assault","Closed","12.3052","76.6552"
"48211000000048034","48211000000013007","2026-07-21 13:36:23:047","2026-07-21 13:59:23:360","FIR/2026/005","48211000000054021","48211000000048015","2026-02-18","Robbery","Under Investigation","12.9141","74.8560"
"48211000000048035","48211000000013007","2026-07-21 13:36:23:049","2026-07-21 13:59:23:361","FIR/2026/006","48211000000054022","48211000000048015","2026-01-05","Theft","Chargesheeted","12.8698","74.8420"
"48211000000048036","48211000000013007","2026-07-21 13:36:23:051","2026-07-21 13:59:23:368","FIR/2026/007","48211000000054023","48211000000048016","2026-03-01","Domestic Violence","Under Investigation","15.8497","74.4977"
"48211000000048037","48211000000013007","2026-07-21 13:36:23:053","2026-07-21 13:59:23:370","FIR/2026/008","48211000000054024","48211000000048016","2026-02-14","Fraud","Closed","15.8656","74.5089"
"48211000000048038","48211000000013007","2026-07-21 13:36:23:055","2026-07-21 13:59:23:371","FIR/2026/009","48211000000054025","48211000000048017","2026-01-30","Cybercrime","Under Investigation","15.3647","75.1240"
"48211000000048039","48211000000013007","2026-07-21 13:36:23:057","2026-07-21 13:59:23:372","FIR/2026/010","48211000000054026","48211000000048017","2026-03-05","Theft","Chargesheeted","15.4589","75.0078"
"48211000000048040","48211000000013007","2026-07-21 13:36:23:058","2026-07-21 13:59:23:373","FIR/2026/011","48211000000054027","48211000000048018","2026-02-20","Burglary","Under Investigation","17.3297","76.8343"
"48211000000048041","48211000000013007","2026-07-21 13:36:23:060","2026-07-21 13:59:23:374","FIR/2026/012","48211000000054028","48211000000048018","2026-01-12","Assault","Chargesheeted","17.3450","76.8560"
"48211000000054069","48211000000013007","2026-07-21 16:15:24:819","2026-07-21 16:15:24:819","FIR/2026/013","48211000000054027","48211000000048018","2026-02-27","Theft","Under Investigation","17.221561","76.715049"
"48211000000054070","48211000000013007","2026-07-21 16:15:24:823","2026-07-21 16:15:24:823","FIR/2026/014","48211000000054027","48211000000048018","2026-01-24","Robbery","Under Investigation","17.245291","76.835907"
"48211000000054071","48211000000013007","2026-07-21 16:15:24:825","2026-07-21 16:15:24:825","FIR/2026/015","48211000000054017","48211000000048013","2026-04-18","Fraud","Chargesheeted","12.892332","77.63008"
"48211000000054072","48211000000013007","2026-07-21 16:15:24:827","2026-07-21 16:15:24:827","FIR/2026/016","48211000000054017","48211000000048013","2026-02-09","Fraud","Under Investigation","12.890794","77.682348"
"48211000000054073","48211000000013007","2026-07-21 16:15:24:828","2026-07-21 16:15:24:828","FIR/2026/017","48211000000054017","48211000000048013","2026-03-30","Cybercrime","Under Investigation","13.007318","77.695438"
"48211000000054074","48211000000013007","2026-07-21 16:15:24:830","2026-07-21 16:15:24:830","FIR/2026/018","48211000000054028","48211000000048018","2026-04-07","Robbery","Closed","17.20334","76.772253"
"48211000000054075","48211000000013007","2026-07-21 16:15:24:831","2026-07-21 16:15:24:831","FIR/2026/019","48211000000054028","48211000000048018","2026-01-12","Robbery","Chargesheeted","17.378079","76.916221"
"48211000000054076","48211000000013007","2026-07-21 16:15:24:833","2026-07-21 16:15:24:833","FIR/2026/020","48211000000054017","48211000000048013","2026-04-27","Vehicle Theft","Under Investigation","13.016905","77.56275"
"48211000000054077","48211000000013007","2026-07-21 16:15:24:834","2026-07-21 16:15:24:834","FIR/2026/021","48211000000054022","48211000000048015","2026-06-24","Burglary","Under Investigation","12.958511","74.888739"
