ROWID,FIRNumber,Latitude,Longitude
48211000000048030,FIR/2026/001,12.9762,77.6033
48211000000048031,FIR/2026/002,12.9698,77.7500
48211000000048032,FIR/2026/003,12.2958,76.6394
48211000000048033,FIR/2026/004,12.3052,76.6552
48211000000048034,FIR/2026/005,12.9141,74.8560
48211000000048035,FIR/2026/006,12.8698,74.8420
48211000000048036,FIR/2026/007,15.8497,74.4977
48211000000048037,FIR/2026/008,15.8656,74.5089
48211000000048038,FIR/2026/009,15.3647,75.1240
48211000000048039,FIR/2026/010,15.4589,75.0078
48211000000048040,FIR/2026/011,17.3297,76.8343
48211000000048041,FIR/2026/012,17.3450,76.8560
