ROWID,FIRNumber,UnitId,DistrictId,DateOfFIR,CrimeType,Status,Latitude,Longitude
48211000000048030,FIR/2026/001,48211000000054017,48211000000048013,2026-01-15,Theft,Under Investigation,12.9762,77.6033
48211000000048031,FIR/2026/002,48211000000054018,48211000000048013,2026-02-03,Burglary,Chargesheeted,12.9698,77.7500
48211000000048032,FIR/2026/003,48211000000054019,48211000000048014,2026-01-22,Cybercrime,Under Investigation,12.2958,76.6394
48211000000048033,FIR/2026/004,48211000000054020,48211000000048014,2026-03-10,Assault,Closed,12.3052,76.6552
48211000000048034,FIR/2026/005,48211000000054021,48211000000048015,2026-02-18,Robbery,Under Investigation,12.9141,74.8560
48211000000048035,FIR/2026/006,48211000000054022,48211000000048015,2026-01-05,Theft,Chargesheeted,12.8698,74.8420
48211000000048036,FIR/2026/007,48211000000054023,48211000000048016,2026-03-01,Domestic Violence,Under Investigation,15.8497,74.4977
48211000000048037,FIR/2026/008,48211000000054024,48211000000048016,2026-02-14,Fraud,Closed,15.8656,74.5089
48211000000048038,FIR/2026/009,48211000000054025,48211000000048017,2026-01-30,Cybercrime,Under Investigation,15.3647,75.1240
48211000000048039,FIR/2026/010,48211000000054026,48211000000048017,2026-03-05,Theft,Chargesheeted,15.4589,75.0078
48211000000048040,FIR/2026/011,48211000000054027,48211000000048018,2026-02-20,Burglary,Under Investigation,17.3297,76.8343
48211000000048041,FIR/2026/012,48211000000054028,48211000000048018,2026-01-12,Assault,Chargesheeted,17.3450,76.8560
