FIRNumber,UnitId,DistrictId,DateOfFIR,CrimeType,Status
FIR/2026/001,48211000000054017,48211000000048013,2026-01-15,Theft,Under Investigation
FIR/2026/002,48211000000054018,48211000000048013,2026-02-03,Burglary,Chargesheeted
FIR/2026/003,48211000000054019,48211000000048014,2026-01-22,Cybercrime,Under Investigation
FIR/2026/004,48211000000054020,48211000000048014,2026-03-10,Assault,Closed
FIR/2026/005,48211000000054021,48211000000048015,2026-02-18,Robbery,Under Investigation
FIR/2026/006,48211000000054022,48211000000048015,2026-01-05,Theft,Chargesheeted
FIR/2026/007,48211000000054023,48211000000048016,2026-03-01,Domestic Violence,Under Investigation
FIR/2026/008,48211000000054024,48211000000048016,2026-02-14,Fraud,Closed
FIR/2026/009,48211000000054025,48211000000048017,2026-01-30,Cybercrime,Under Investigation
FIR/2026/010,48211000000054026,48211000000048017,2026-03-05,Theft,Chargesheeted
FIR/2026/011,48211000000054027,48211000000048018,2026-02-20,Burglary,Under Investigation
FIR/2026/012,48211000000054028,48211000000048018,2026-01-12,Assault,Chargesheeted
