FIRNumber,UnitId,DistrictId,DateOfFIR,CrimeType,Status,Latitude,Longitude
FIR/2026/163,48211000000046246,48211000000054393,2026-04-02,Vehicle Theft,Chargesheeted,12.420457,75.757816
FIR/2026/164,48211000000046234,48211000000054381,2026-02-24,Vehicle Theft,Chargesheeted,16.148584,75.656158
FIR/2026/165,48211000000046236,48211000000054383,2026-05-18,Theft,Under Investigation,13.209682,77.575202
FIR/2026/166,48211000000046238,48211000000054385,2026-02-23,Domestic Violence,Under Investigation,11.871148,76.941726
FIR/2026/167,48211000000046234,48211000000054381,2026-03-26,Domestic Violence,Chargesheeted,16.188875,75.709494
FIR/2026/168,48211000000046240,48211000000054387,2026-07-10,Burglary,Under Investigation,13.336372,75.712782
FIR/2026/169,48211000000046242,48211000000054389,2026-01-06,Robbery,Under Investigation,14.448909,75.904953
FIR/2026/170,48211000000046236,48211000000054383,2026-03-13,Extortion,Under Investigation,13.173589,77.536691
FIR/2026/171,48211000000046249,48211000000054396,2026-02-12,Vehicle Theft,Chargesheeted,12.524014,76.940908
FIR/2026/172,48211000000046237,48211000000054384,2026-01-02,Fraud,Chargesheeted,17.967742,77.478014
FIR/2026/173,48211000000046246,48211000000054393,2026-04-24,Robbery,Chargesheeted,12.465029,75.692465
FIR/2026/174,48211000000046250,48211000000054397,2026-02-15,Chain Snatching,Under Investigation,16.258529,77.310403
FIR/2026/175,48211000000046257,48211000000054404,2026-01-21,Extortion,Closed,16.825055,77.183737
FIR/2026/176,48211000000046238,48211000000054385,2026-06-26,Theft,Chargesheeted,11.983427,76.941162
FIR/2026/177,48211000000046234,48211000000054381,2026-03-13,Domestic Violence,Under Investigation,16.221571,75.633602
FIR/2026/178,48211000000046234,48211000000054381,2026-03-23,Theft,Closed,16.138422,75.637271
FIR/2026/179,48211000000046256,48211000000054403,2026-06-06,Theft,Chargesheeted,16.825258,75.718325
FIR/2026/180,48211000000046253,48211000000054400,2026-06-19,Burglary,Under Investigation,13.301393,77.128475
FIR/2026/181,48211000000046238,48211000000054385,2026-03-30,Theft,Under Investigation,11.945066,76.992899
FIR/2026/182,48211000000046240,48211000000054387,2026-02-25,Fraud,Chargesheeted,13.273875,75.726453
FIR/2026/183,48211000000046238,48211000000054385,2026-06-20,Cybercrime,Under Investigation,11.887888,76.966154
FIR/2026/184,48211000000046254,48211000000054401,2026-02-23,Assault,Chargesheeted,13.311102,74.760309
FIR/2026/185,48211000000046238,48211000000054385,2026-03-03,Domestic Violence,Chargesheeted,11.969454,76.910027
FIR/2026/186,48211000000046237,48211000000054384,2026-03-29,Burglary,Chargesheeted,17.942092,77.522751
FIR/2026/187,48211000000046249,48211000000054396,2026-01-09,Burglary,Chargesheeted,12.556986,76.891619
FIR/2026/188,48211000000046247,48211000000054394,2026-06-20,Theft,Closed,13.109596,78.143774
FIR/2026/189,48211000000054026,48211000000048017,2026-01-16,Fraud,Closed,15.308973,75.168406
