"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","CameraName","Latitude","Longitude","DistrictId","Status","InstalledDate","UnitId"
"48211000000129576","48211000000013007","2026-07-22 14:32:44:224","2026-07-22 14:32:44:224","Cubbon Park Court Complex Cam 1","12.973696","77.603163","48211000000048013","Active","2020-02-24","48211000000054017"
"48211000000129577","48211000000013007","2026-07-22 14:32:44:226","2026-07-22 14:32:44:226","Cubbon Park School Zone Cam 2","12.966647","77.615487","48211000000048013","Active","2019-05-11","48211000000054017"
"48211000000129578","48211000000013007","2026-07-22 14:32:44:227","2026-07-22 14:32:44:227","Cubbon Park Railway Junction Cam 3","12.976858","77.603435","48211000000048013","Active","2025-04-17","48211000000054017"
"48211000000129579","48211000000013007","2026-07-22 14:32:44:229","2026-07-22 14:32:44:229","Cubbon Park Railway Junction Cam 4","12.972579","77.600596","48211000000048013","Active","2024-01-14","48211000000054017"
"48211000000129580","48211000000013007","2026-07-22 14:32:44:230","2026-07-22 14:32:44:230","Cubbon Park Market Cam 5","12.963843","77.608268","48211000000048013","Active","2020-10-15","48211000000054017"
"48211000000129581","48211000000013007","2026-07-22 14:32:44:231","2026-07-22 14:32:44:231","Cubbon Park Hospital Cam 6","12.989463","77.594633","48211000000048013","Active","2022-10-10","48211000000054017"
"48211000000129582","48211000000013007","2026-07-22 14:32:44:233","2026-07-22 14:32:44:233","Cubbon Park Bus Stand Cam 7","12.977777","77.601579","48211000000048013","Active","2025-10-08","48211000000054017"
"48211000000129583","48211000000013007","2026-07-22 14:32:44:234","2026-07-22 14:32:44:234","Cubbon Park College Cam 8","12.977806","77.609187","48211000000048013","Active","2023-03-31","48211000000054017"
"48211000000129584","48211000000013007","2026-07-22 14:32:44:235","2026-07-22 14:32:44:235","Cubbon Park Government Office Cam 9","12.97791","77.602812","48211000000048013","Active","2023-01-21","48211000000054017"
"48211000000129585","48211000000013007","2026-07-22 14:32:44:237","2026-07-22 14:32:44:237","Cubbon Park Market Cam 10","12.963723","77.599543","48211000000048013","Active","2022-03-31","48211000000054017"
"48211000000129586","48211000000013007","2026-07-22 14:32:44:238","2026-07-22 14:32:44:238","Cubbon Park Church Cam 11","12.958694","77.617293","48211000000048013","Active","2022-02-12","48211000000054017"
"48211000000129587","48211000000013007","2026-07-22 14:32:44:240","2026-07-22 14:32:44:240","Cubbon Park Hospital Cam 12","12.967381","77.608584","48211000000048013","Active","2021-05-08","48211000000054017"
"48211000000129588","48211000000013007","2026-07-22 14:32:44:241","2026-07-22 14:32:44:241","Cubbon Park Government Office Cam 13","12.961792","77.598682","48211000000048013","Active","2025-10-31","48211000000054017"
"48211000000129589","48211000000013007","2026-07-22 14:32:44:242","2026-07-22 14:32:44:242","Cubbon Park Court Complex Cam 14","12.973156","77.58896","48211000000048013","Active","2023-04-04","48211000000054017"
"48211000000129590","48211000000013007","2026-07-22 14:32:44:244","2026-07-22 14:32:44:244","Cubbon Park Main Road Junction Cam 15","12.973453","77.608866","48211000000048013","Active","2022-08-21","48211000000054017"
"48211000000129591","48211000000013007","2026-07-22 14:32:44:245","2026-07-22 14:32:44:245","Cubbon Park Court Complex Cam 16","12.95747","77.606468","48211000000048013","Active","2022-07-16","48211000000054017"
"48211000000129592","48211000000013007","2026-07-22 14:32:44:246","2026-07-22 14:32:44:246","Cubbon Park Stadium Cam 17","12.97985","77.611782","48211000000048013","Active","2022-07-12","48211000000054017"
