CameraName,Latitude,Longitude,DistrictId,UnitId,Status,InstalledDate
Cubbon Park Market Cam 1,12.946736,77.577283,48211000000048013,48211000000054017,Active,2025-04-26
Cubbon Park Court Complex Cam 2,12.973626,77.566583,48211000000048013,48211000000054017,Active,2020-09-17
Cubbon Park School Zone Cam 3,12.953024,77.56775,48211000000048013,48211000000054017,Active,2019-06-19
Cubbon Park Hospital Cam 4,12.956878,77.592275,48211000000048013,48211000000054017,Active,2025-04-08
Cubbon Park Temple Cam 5,12.957112,77.589062,48211000000048013,48211000000054017,Active,2024-07-20
Cubbon Park Hospital Cam 6,12.94757,77.600415,48211000000048013,48211000000054017,Active,2023-08-23
Cubbon Park Police Station Cam 7,12.950117,77.572844,48211000000048013,48211000000054017,Active,2019-03-24
Cubbon Park Bus Stand Cam 8,12.964624,77.600267,48211000000048013,48211000000054017,Active,2025-01-15
Cubbon Park Police Station Cam 9,12.975145,77.604538,48211000000048013,48211000000054017,Active,2022-08-05
Cubbon Park Police Station Cam 10,12.975159,77.581089,48211000000048013,48211000000054017,Active,2022-04-03
Cubbon Park Bus Stand Cam 11,12.961136,77.594253,48211000000048013,48211000000054017,Active,2024-11-25
Cubbon Park Residential Colony Cam 12,12.955614,77.599883,48211000000048013,48211000000054017,Under Maintenance,2024-02-04
Cubbon Park Market Cam 13,12.981314,77.596149,48211000000048013,48211000000054017,Active,2025-07-07
Cubbon Park School Zone Cam 14,12.965454,77.572432,48211000000048013,48211000000054017,Active,2023-07-10
Cubbon Park Hospital Cam 15,12.956735,77.577076,48211000000048013,48211000000054017,Active,2023-07-11
Cubbon Park Residential Colony Cam 16,12.957876,77.584124,48211000000048013,48211000000054017,Active,2021-01-27
Whitefield Police Station Cam 1,12.962402,77.66977,48211000000048013,48211000000054018,Active,2023-10-24
Whitefield Market Cam 2,12.972622,77.690141,48211000000048013,48211000000054018,Under Maintenance,2023-06-18
Whitefield Residential Colony Cam 3,12.974599,77.671775,48211000000048013,48211000000054018,Active,2020-11-06
Whitefield Market Cam 4,12.96522,77.687184,48211000000048013,48211000000054018,Active,2021-10-10
Whitefield School Zone Cam 5,12.9561,77.677488,48211000000048013,48211000000054018,Active,2019-03-25
Whitefield Hospital Cam 6,12.973033,77.685089,48211000000048013,48211000000054018,Active,2024-01-22
Whitefield Market Cam 7,12.976561,77.680675,48211000000048013,48211000000054018,Active,2022-03-24
Whitefield Market Cam 8,12.97376,77.695429,48211000000048013,48211000000054018,Active,2022-09-13
Whitefield Temple Cam 9,12.972165,77.69658,48211000000048013,48211000000054018,Active,2020-09-03
Whitefield Hospital Cam 10,12.968581,77.679249,48211000000048013,48211000000054018,Active,2025-12-16
Whitefield Police Station Cam 11,12.952864,77.693877,48211000000048013,48211000000054018,Active,2019-05-22
Whitefield School Zone Cam 12,12.946214,77.677126,48211000000048013,48211000000054018,Active,2020-03-13
Whitefield Police Station Cam 13,12.949876,77.684692,48211000000048013,48211000000054018,Active,2024-03-05
Whitefield Temple Cam 14,12.976078,77.674183,48211000000048013,48211000000054018,Active,2019-05-05
Whitefield Residential Colony Cam 15,12.972811,77.692972,48211000000048013,48211000000054018,Active,2024-08-01
Whitefield Residential Colony Cam 16,12.967255,77.670838,48211000000048013,48211000000054018,Active,2025-03-12
Whitefield Market Cam 17,12.973401,77.679778,48211000000048013,48211000000054018,Active,2022-10-28
Mysuru City Market Cam 1,12.270601,76.628257,48211000000048014,48211000000054019,Active,2020-12-01
Mysuru City Hospital Cam 2,12.2756,76.637918,48211000000048014,48211000000054019,Active,2024-01-09
Mysuru City Market Cam 3,12.247756,76.617001,48211000000048014,48211000000054019,Active,2025-10-14
Mysuru City School Zone Cam 4,12.275033,76.624436,48211000000048014,48211000000054019,Active,2025-03-05
Mysuru City Police Station Cam 5,12.256278,76.611479,48211000000048014,48211000000054019,Active,2019-03-01
Mysuru City Market Cam 6,12.266403,76.641998,48211000000048014,48211000000054019,Active,2019-02-21
Mysuru City School Zone Cam 7,12.276929,76.617622,48211000000048014,48211000000054019,Active,2023-06-13
Mysuru City Court Complex Cam 8,12.27533,76.6169,48211000000048014,48211000000054019,Active,2023-03-06
Mysuru City Police Station Cam 9,12.255977,76.625122,48211000000048014,48211000000054019,Active,2020-12-24
