CameraName,Latitude,Longitude,Status,UnitId
Belagavi Bus Stand Cam 6001,16.167558,74.500582,Active,48211000000072956
Belagavi Market Cam 6002,16.169152,74.50137,Active,48211000000072956
Belagavi Village Junction Cam 6003,16.16572,74.497595,Active,48211000000072956
Belagavi Commercial Street Cam 6004,15.585222,74.257978,Active,48211000000072950
Belagavi Residential Area Cam 6005,15.587378,74.256118,Active,48211000000072950
Belagavi Market Cam 6006,16.527156,74.936237,Active,48211000000072951
Belagavi Police Station Cam 6007,16.532772,74.939874,Active,48211000000072951
Belagavi Police Station Cam 6008,16.526716,74.934361,Active,48211000000072951
Belagavi Highway Junction Cam 6009,16.528716,74.933097,Active,48211000000072951
Belagavi College Cam 6010,16.528712,74.932208,Active,48211000000072951
Belagavi Bus Stand Cam 6011,16.526314,74.937571,Active,48211000000072951
Belagavi Commercial Street Cam 6012,16.127216,75.07399,Active,48211000000072957
Belagavi Tourist Point Cam 6013,16.125851,75.078045,Active,48211000000072957
Belagavi Residential Area Cam 6014,15.401222,74.629847,Active,48211000000072953
Belagavi Residential Area Cam 6015,15.400077,74.622861,Active,48211000000072953
Belagavi Major Town Center Cam 6016,15.394667,74.622851,Active,48211000000072953
Belagavi Police Station Cam 6017,15.40211,74.622752,Active,48211000000072953
Belagavi School Cam 6018,16.310972,74.724758,Active,48211000000072956
Belagavi Bus Stand Cam 6019,16.311108,74.722371,Active,48211000000072956
Belagavi Bus Stand Cam 6020,16.320486,74.958877,Active,48211000000072951
Belagavi Police Station Cam 6021,16.320204,74.954842,Active,48211000000072951
Belagavi Village Junction Cam 6022,16.322501,74.959231,Active,48211000000072951
Belagavi Industrial Area Cam 6023,16.030734,74.903247,Active,48211000000072957
Belagavi Highway Junction Cam 6024,16.035747,74.908626,Active,48211000000072957
Belagavi College Cam 6025,16.03647,74.90489,Active,48211000000072957
Belagavi Bus Stand Cam 6026,16.034926,74.902001,Active,48211000000072957
Belagavi Railway Station Cam 6027,16.034921,74.903887,Active,48211000000072957
Belagavi School Cam 6028,16.033842,74.908956,Active,48211000000072957
Belagavi College Cam 6029,15.838082,74.951791,Active,48211000000072958
Belagavi School Cam 6030,15.841183,74.94849,Active,48211000000072958
Belagavi School Cam 6031,15.839129,74.949792,Active,48211000000072958
Belagavi Major Town Center Cam 6032,16.508416,74.433494,Active,48211000000072948
Belagavi Bus Stand Cam 6033,16.508368,74.43399,Active,48211000000072948
Belagavi Hospital Cam 6034,15.9426,74.704288,Active,48211000000072952
Belagavi Market Cam 6035,15.939807,74.707708,Active,48211000000072952
Belagavi Railway Station Cam 6036,16.657459,75.255376,Active,48211000000072959
Belagavi Government Office Cam 6037,16.659841,75.256019,Active,48211000000072959
Belagavi Highway Junction Cam 6038,16.654873,75.25614,Active,48211000000072959
Belagavi Police Station Cam 6039,16.653056,75.256799,Active,48211000000072959
Belagavi Industrial Area Cam 6040,16.659134,75.252748,Active,48211000000072959
Belagavi Residential Area Cam 6041,16.655565,75.257213,Active,48211000000072959
Belagavi Police Station Cam 6042,16.224712,74.614954,Active,48211000000072956
Belagavi Village Junction Cam 6043,16.222227,74.617832,Active,48211000000072956
