DistrictName,DistrictCode,Zone
Bagalkot,BGK,North Karnataka
Ballari,BLY,North Karnataka
Bengaluru Rural,BLR-R,Bengaluru City
Bidar,BDR,North Karnataka
Chamarajanagar,CMJ,South Karnataka
Chikballapur,CKB,Bengaluru City
Chikkamagaluru,CKM,South Karnataka
Chitradurga,CTD,Central Karnataka
Davanagere,DVG,Central Karnataka
Gadag,GDG,North Karnataka
Hassan,HSN,South Karnataka
Haveri,HVR,North Karnataka
Kodagu,KDG,South Karnataka
Kolar,KLR,Bengaluru City
Koppal,KPL,North Karnataka
Mandya,MDY,South Karnataka
Raichur,RCH,Hyderabad-Karnataka
Ramanagara,RMN,Bengaluru City
Shivamogga,SMG,South Karnataka
Tumakuru,TMK,Central Karnataka
Udupi,UDP,Coastal Karnataka
Uttara Kannada,UK,Coastal Karnataka
Vijayapura,VJP,North Karnataka
Yadgir,YDG,Hyderabad-Karnataka
Vijayanagara,VJN,North Karnataka
