"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","DistrictName","DistrictCode","Zone"
"48211000000048013","48211000000013007","2026-07-20 22:35:42:614","2026-07-20 22:35:42:614","Bengaluru Urban","BLR","Bengaluru City"
"48211000000048014","48211000000013007","2026-07-20 22:35:42:614","2026-07-20 22:35:42:614","Mysuru","MYS","South Karnataka"
"48211000000048015","48211000000013007","2026-07-20 22:35:42:614","2026-07-20 22:35:42:614","Mangaluru","MNG","Coastal Karnataka"
"48211000000048016","48211000000013007","2026-07-20 22:35:42:614","2026-07-20 22:35:42:614","Belagavi","BEL","North Karnataka"
"48211000000048017","48211000000013007","2026-07-20 22:35:42:614","2026-07-20 22:35:42:614","Hubballi-Dharwad","HBD","North Karnataka"
"48211000000048018","48211000000013007","2026-07-20 22:35:42:614","2026-07-20 22:35:42:614","Kalaburagi","KLB","Hyderabad-Karnataka"
"48211000000054381","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Bagalkot","BGK","North Karnataka"
"48211000000054382","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Ballari","BLY","North Karnataka"
"48211000000054383","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Bengaluru Rural","BLR-R","Bengaluru City"
"48211000000054384","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Bidar","BDR","North Karnataka"
"48211000000054385","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Chamarajanagar","CMJ","South Karnataka"
"48211000000054386","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Chikballapur","CKB","Bengaluru City"
"48211000000054387","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Chikkamagaluru","CKM","South Karnataka"
"48211000000054388","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Chitradurga","CTD","Central Karnataka"
"48211000000054389","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Davanagere","DVG","Central Karnataka"
"48211000000054390","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Gadag","GDG","North Karnataka"
"48211000000054391","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Hassan","HSN","South Karnataka"
"48211000000054392","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Haveri","HVR","North Karnataka"
"48211000000054393","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Kodagu","KDG","South Karnataka"
"48211000000054394","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Kolar","KLR","Bengaluru City"
"48211000000054395","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Koppal","KPL","North Karnataka"
"48211000000054396","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Mandya","MDY","South Karnataka"
"48211000000054397","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Raichur","RCH","Hyderabad-Karnataka"
"48211000000054398","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Ramanagara","RMN","Bengaluru City"
"48211000000054399","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Shivamogga","SMG","South Karnataka"
"48211000000054400","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Tumakuru","TMK","Central Karnataka"
"48211000000054401","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Udupi","UDP","Coastal Karnataka"
"48211000000054402","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Uttara Kannada","UK","Coastal Karnataka"
"48211000000054403","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Vijayapura","VJP","North Karnataka"
"48211000000054404","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Yadgir","YDG","Hyderabad-Karnataka"
"48211000000054405","48211000000013007","2026-07-21 16:38:25:176","2026-07-21 16:38:25:176","Vijayanagara","VJN","North Karnataka"
