"ROWID","CREATORID","CREATEDTIME","MODIFIEDTIME","FIRNumber","UnitId","DistrictId","DateOfFIR","CrimeType","Status"
"48211000000048030","48211000000013007","2026-07-21 13:36:23:036","2026-07-21 13:36:23:036","FIR/2026/001","48211000000054017","48211000000048013","2026-01-15","Theft","Under Investigation"
"48211000000048031","48211000000013007","2026-07-21 13:36:23:042","2026-07-21 13:36:23:042","FIR/2026/002","48211000000054018","48211000000048013","2026-02-03","Burglary","Chargesheeted"
"48211000000048032","48211000000013007","2026-07-21 13:36:23:043","2026-07-21 13:36:23:043","FIR/2026/003","48211000000054019","48211000000048014","2026-01-22","Cybercrime","Under Investigation"
"48211000000048033","48211000000013007","2026-07-21 13:36:23:045","2026-07-21 13:36:23:045","FIR/2026/004","48211000000054020","48211000000048014","2026-03-10","Assault","Closed"
"48211000000048034","48211000000013007","2026-07-21 13:36:23:047","2026-07-21 13:36:23:047","FIR/2026/005","48211000000054021","48211000000048015","2026-02-18","Robbery","Under Investigation"
"48211000000048035","48211000000013007","2026-07-21 13:36:23:049","2026-07-21 13:36:23:049","FIR/2026/006","48211000000054022","48211000000048015","2026-01-05","Theft","Chargesheeted"
"48211000000048036","48211000000013007","2026-07-21 13:36:23:051","2026-07-21 13:36:23:051","FIR/2026/007","48211000000054023","48211000000048016","2026-03-01","Domestic Violence","Under Investigation"
"48211000000048037","48211000000013007","2026-07-21 13:36:23:053","2026-07-21 13:36:23:053","FIR/2026/008","48211000000054024","48211000000048016","2026-02-14","Fraud","Closed"
"48211000000048038","48211000000013007","2026-07-21 13:36:23:055","2026-07-21 13:36:23:055","FIR/2026/009","48211000000054025","48211000000048017","2026-01-30","Cybercrime","Under Investigation"
"48211000000048039","48211000000013007","2026-07-21 13:36:23:057","2026-07-21 13:36:23:057","FIR/2026/010","48211000000054026","48211000000048017","2026-03-05","Theft","Chargesheeted"
"48211000000048040","48211000000013007","2026-07-21 13:36:23:058","2026-07-21 13:36:23:058","FIR/2026/011","48211000000054027","48211000000048018","2026-02-20","Burglary","Under Investigation"
"48211000000048041","48211000000013007","2026-07-21 13:36:23:060","2026-07-21 13:36:23:060","FIR/2026/012","48211000000054028","48211000000048018","2026-01-12","Assault","Chargesheeted"
