SectionCode,SectionTitle,Act,CaseId
379,Theft,IPC,48211000000054069
392,Robbery,IPC,48211000000054070
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054071
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054072
66C,Identity Theft,IT Act,48211000000054073
66D,Cheating by personation using computer resource,IT Act,48211000000054073
392,Robbery,IPC,48211000000054074
392,Robbery,IPC,48211000000054075
379,Theft,IPC,48211000000054076
457,Lurking house-trespass by night,IPC,48211000000054077
380,Theft in dwelling house,IPC,48211000000054077
379,Theft,IPC,48211000000054078
457,Lurking house-trespass by night,IPC,48211000000054079
380,Theft in dwelling house,IPC,48211000000054079
457,Lurking house-trespass by night,IPC,48211000000054080
380,Theft in dwelling house,IPC,48211000000054080
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054081
379,Theft,IPC,48211000000054082
392,Robbery,IPC,48211000000054083
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000054084
457,Lurking house-trespass by night,IPC,48211000000054085
380,Theft in dwelling house,IPC,48211000000054085
323,Voluntarily causing hurt,IPC,48211000000054086
379,Theft,IPC,48211000000054087
323,Voluntarily causing hurt,IPC,48211000000054088
379,Theft,IPC,48211000000054089
379,Theft,IPC,48211000000054090
384,Extortion,IPC,48211000000054091
384,Extortion,IPC,48211000000054092
379,Theft,IPC,48211000000054093
457,Lurking house-trespass by night,IPC,48211000000054094
380,Theft in dwelling house,IPC,48211000000054094
457,Lurking house-trespass by night,IPC,48211000000054095
380,Theft in dwelling house,IPC,48211000000054095
457,Lurking house-trespass by night,IPC,48211000000054096
380,Theft in dwelling house,IPC,48211000000054096
498A,Cruelty by husband or relatives,IPC,48211000000054097
457,Lurking house-trespass by night,IPC,48211000000054098
380,Theft in dwelling house,IPC,48211000000054098
323,Voluntarily causing hurt,IPC,48211000000054099
384,Extortion,IPC,48211000000054100
379,Theft,IPC,48211000000054101
323,Voluntarily causing hurt,IPC,48211000000054102
457,Lurking house-trespass by night,IPC,48211000000054103
380,Theft in dwelling house,IPC,48211000000054103
392,Robbery,IPC,48211000000054104
379,Theft,IPC,48211000000054105
392,Robbery,IPC,48211000000054106
379,Theft,IPC,48211000000054107
323,Voluntarily causing hurt,IPC,48211000000054108
379,Theft,IPC,48211000000054109
66C,Identity Theft,IT Act,48211000000054110
66D,Cheating by personation using computer resource,IT Act,48211000000054110
