SectionCode,SectionTitle,Act,CaseId
379,Theft,IPC,48211000000048030
457,Lurking house-trespass by night,IPC,48211000000048031
380,Theft in dwelling house,IPC,48211000000048031
66C,Identity Theft,IT Act,48211000000048032
323,Voluntarily causing hurt,IPC,48211000000048033
392,Robbery,IPC,48211000000048034
379,Theft,IPC,48211000000048035
498A,Cruelty by husband or relatives,IPC,48211000000048036
420,Cheating and dishonestly inducing delivery of property,IPC,48211000000048037
66D,Cheating by personation using computer resource,IT Act,48211000000048038
379,Theft,IPC,48211000000048039
457,Lurking house-trespass by night,IPC,48211000000048040
380,Theft in dwelling house,IPC,48211000000048040
323,Voluntarily causing hurt,IPC,48211000000048041
