UnitName,UnitCode,DistrictId,UnitTypeId,ParentUnitId
Bagalkot Town PS,BAG-TN,48211000000054381,48211000000054006,
Ballari Town PS,BAL-TN,48211000000054382,48211000000054006,
Bengaluru Rural Town PS,BEN-TN,48211000000054383,48211000000054006,
Bidar Town PS,BID-TN,48211000000054384,48211000000054006,
Chamarajanagar Town PS,CHA-TN,48211000000054385,48211000000054006,
Chikballapur Town PS,CHI-TN,48211000000054386,48211000000054006,
Chikkamagaluru Town PS,CHI-TN,48211000000054387,48211000000054006,
Chitradurga Town PS,CHI-TN,48211000000054388,48211000000054006,
Davanagere Town PS,DAV-TN,48211000000054389,48211000000054006,
Gadag Town PS,GAD-TN,48211000000054390,48211000000054006,
Hassan Town PS,HAS-TN,48211000000054391,48211000000054006,
Haveri Town PS,HAV-TN,48211000000054392,48211000000054006,
Kodagu Town PS,KOD-TN,48211000000054393,48211000000054006,
Kolar Town PS,KOL-TN,48211000000054394,48211000000054006,
Koppal Town PS,KOP-TN,48211000000054395,48211000000054006,
Mandya Town PS,MAN-TN,48211000000054396,48211000000054006,
Raichur Town PS,RAI-TN,48211000000054397,48211000000054006,
Ramanagara Town PS,RAM-TN,48211000000054398,48211000000054006,
Shivamogga Town PS,SHI-TN,48211000000054399,48211000000054006,
Tumakuru Town PS,TUM-TN,48211000000054400,48211000000054006,
Udupi Town PS,UDU-TN,48211000000054401,48211000000054006,
Uttara Kannada Town PS,UTT-TN,48211000000054402,48211000000054006,
Vijayapura Town PS,VIJ-TN,48211000000054403,48211000000054006,
Yadgir Town PS,YAD-TN,48211000000054404,48211000000054006,
Vijayanagara Town PS,VIJ-TN,48211000000054405,48211000000054006,
