UnitName,UnitCode,DistrictId,UnitTypeId,ParentUnitId
Cubbon Park PS,BLR-CP,48211000000048013,48211000000054006,
Whitefield PS,BLR-WF,48211000000048013,48211000000054006,
Mysuru City PS,MYS-CT,48211000000048014,48211000000054006,
Mysuru Circle Office,MYS-CO,48211000000048014,48211000000054007,
Mangaluru North PS,MNG-NP,48211000000048015,48211000000054006,
Mangaluru South PS,MNG-SP,48211000000048015,48211000000054006,
Belagavi Camp PS,BEL-CP,48211000000048016,48211000000054006,
Belagavi Rural PS,BEL-RP,48211000000048016,48211000000054006,
Hubballi City PS,HBD-CT,48211000000048017,48211000000054006,
Dharwad District HQ,HBD-HQ,48211000000048017,48211000000054009,
Kalaburagi Town PS,KLB-TN,48211000000048018,48211000000054006,
Kalaburagi Sub-Division,KLB-SD,48211000000048018,48211000000054008,
